time | w0| w1| w2| w3| w4| finished
 105 | M | S | N | . | Q | FHRX
 106 | M | S | N | . | Q | FHRX
 107 | M | S | N | . | Q | FHRX
 108 | M | S | N | . | Q | FHRX
 109 | M | S | N | . | Q | FHRX
 110 | M | S | N | . | Q | FHRX
 111 | M | S | N | . | Q | FHRX
 112 | M | S | N | . | Q | FHRX
 113 | M | S | N | . | Q | FHRX
 114 | M | S | N | . | Q | FHRX
 115 | M | S | N | . | Q | FHRX
 116 | M | S | N | . | Q | FHRX
 117 | M | S | N | . | Q | FHRX
 118 | M | S | N | . | Q | FHRX
 119 | M | S | N | . | Q | FHRX
 120 | M | S | N | . | Q | FHRX
 121 | M | S | N | . | Q | FHRX
 122 | M | S | N | . | Q | FHRX
 123 | M | S | N | . | Q | FHRX
 124 | M | S | N | . | Q | FHRX
 125 | M | S | N | . | Q | FHRX
 126 | M | S | N | . | Q | FHRX
 127 | M | S | N | . | Q | FHRX
 128 | M | S | N | . | Q | FHRX
 129 | M | S | N | . | Q | FHRX
 130 | M | S | N | . | Q | FHRX
 131 | M | S | N | . | Q | FHRX
 132 | M | S | N | . | Q | FHRX
 133 | M | S | N | . | Q | FHRX
 134 | M | S | N | . | Q | FHRX
 135 | M | S | N | . | Q | FHRX
 136 | M | S | N | . | Q | FHRX
 137 | M | S | N | . | Q | FHRX
 138 | M | S | N | . | Q | FHRX
 139 | E | S | N | . | Q | FHRXM
 140 | E | S | N | . | Q | FHRXM
 141 | E | S | N | . | Q | FHRXM
 142 | E | S | N | . | Q | FHRXM
 143 | E | S | N | G | . | FHRXMQ
 144 | E | S | N | G | . | FHRXMQ
 145 | E | S | N | G | . | FHRXMQ
 146 | E | S | N | G | . | FHRXMQ
 147 | E | S | N | G | . | FHRXMQ
 148 | E | S | N | G | . | FHRXMQ
 149 | E | S | N | G | . | FHRXMQ
 150 | E | S | N | G | . | FHRXMQ
 151 | E | S | N | G | . | FHRXMQ
 152 | E | S | N | G | . | FHRXMQ
 153 | E | S | N | G | . | FHRXMQ
 154 | E | S | N | G | . | FHRXMQ
 155 | E | S | N | G | . | FHRXMQ
 156 | E | S | N | G | . | FHRXMQ
 157 | E | . | N | G | . | FHRXMQS
 158 | E | W | Z | G | . | FHRXMQSN
 159 | E | W | Z | G | . | FHRXMQSN
 160 | E | W | Z | G | . | FHRXMQSN
 161 | E | W | Z | G | . | FHRXMQSN
 162 | E | W | Z | G | . | FHRXMQSN
 163 | E | W | Z | G | . | FHRXMQSN
 164 | E | W | Z | G | . | FHRXMQSN
 165 | E | W | Z | G | . | FHRXMQSN
 166 | E | W | Z | G | . | FHRXMQSN
 167 | E | W | Z | G | . | FHRXMQSN
 168 | E | W | Z | G | . | FHRXMQSN
 169 | E | W | Z | G | . | FHRXMQSN
 170 | E | W | Z | G | . | FHRXMQSN
 171 | E | W | Z | G | . | FHRXMQSN
 172 | E | W | Z | G | . | FHRXMQSN
 173 | E | W | Z | G | . | FHRXMQSN
 174 | E | W | Z | G | . | FHRXMQSN
 175 | E | W | Z | G | . | FHRXMQSN
 176 | E | W | Z | G | . | FHRXMQSN
 177 | E | W | Z | G | . | FHRXMQSN
 178 | E | W | Z | G | . | FHRXMQSN
 179 | E | W | Z | G | . | FHRXMQSN
 180 | E | W | Z | G | . | FHRXMQSN
 181 | E | W | Z | G | . | FHRXMQSN
 182 | E | W | Z | G | . | FHRXMQSN
 183 | E | W | Z | G | . | FHRXMQSN
 184 | E | W | Z | G | . | FHRXMQSN
 185 | E | W | Z | G | . | FHRXMQSN
 186 | E | W | Z | G | . | FHRXMQSN
 187 | E | W | Z | G | . | FHRXMQSN
 188 | E | W | Z | G | . | FHRXMQSN
 189 | E | W | Z | G | . | FHRXMQSN
 190 | E | W | Z | G | . | FHRXMQSN
 191 | E | W | Z | G | . | FHRXMQSN
 192 | E | W | Z | G | . | FHRXMQSN
 193 | E | W | Z | G | . | FHRXMQSN
 194 | E | W | Z | G | . | FHRXMQSN
 195 | E | W | Z | G | . | FHRXMQSN
 196 | E | W | Z | G | . | FHRXMQSN
 197 | E | W | Z | G | . | FHRXMQSN
 198 | E | W | Z | G | . | FHRXMQSN
 199 | E | W | Z | G | . | FHRXMQSN
 200 | E | W | Z | G | . | FHRXMQSN
 201 | E | W | Z | G | . | FHRXMQSN
 202 | E | W | Z | G | . | FHRXMQSN
 203 | E | W | Z | G | . | FHRXMQSN
 204 | . | W | Z | G | . | FHRXMQSNE
 205 | . | W | Z | G | . | FHRXMQSNE
 206 | . | W | Z | G | . | FHRXMQSNE
 207 | . | W | Z | G | . | FHRXMQSNE
 208 | . | W | Z | G | . | FHRXMQSNE
 209 | . | W | Z | G | . | FHRXMQSNE
 210 | I | W | Z | . | . | FHRXMQSNEG
 211 | I | W | Z | . | . | FHRXMQSNEG
 212 | I | W | Z | . | . | FHRXMQSNEG
 213 | I | W | Z | . | . | FHRXMQSNEG
 214 | I | W | Z | . | . | FHRXMQSNEG
 215 | I | W | Z | . | . | FHRXMQSNEG
 216 | I | W | Z | . | . | FHRXMQSNEG
 217 | I | W | Z | . | . | FHRXMQSNEG
 218 | I | W | Z | . | . | FHRXMQSNEG
 219 | I | W | Z | . | . | FHRXMQSNEG
 220 | I | W | Z | . | . | FHRXMQSNEG
 221 | I | W | Z | . | . | FHRXMQSNEG
 222 | I | W | Z | . | . | FHRXMQSNEG
 223 | I | W | Z | . | . | FHRXMQSNEG
 224 | I | W | Z | . | . | FHRXMQSNEG
 225 | I | W | Z | . | . | FHRXMQSNEG
 226 | I | W | Z | . | . | FHRXMQSNEG
 227 | I | W | Z | . | . | FHRXMQSNEG
 228 | I | W | Z | . | . | FHRXMQSNEG
 229 | I | W | Z | . | . | FHRXMQSNEG
 230 | I | W | Z | . | . | FHRXMQSNEG
 231 | I | W | Z | . | . | FHRXMQSNEG
 232 | I | W | Z | . | . | FHRXMQSNEG
 233 | I | W | Z | . | . | FHRXMQSNEG
 234 | I | W | Z | . | . | FHRXMQSNEG
 235 | I | W | Z | . | . | FHRXMQSNEG
 236 | I | W | Z | . | . | FHRXMQSNEG
 237 | I | W | Z | . | . | FHRXMQSNEG
 238 | I | W | Z | . | . | FHRXMQSNEG
 239 | I | W | Z | . | . | FHRXMQSNEG
 240 | I | W | Z | . | . | FHRXMQSNEG
 241 | I | . | Z | . | . | FHRXMQSNEGW
 242 | I | . | Z | . | . | FHRXMQSNEGW
 243 | I | . | Z | . | . | FHRXMQSNEGW
 244 | I | B | . | . | . | FHRXMQSNEGWZ
 245 | I | B | . | . | . | FHRXMQSNEGWZ
 246 | I | B | . | . | . | FHRXMQSNEGWZ
 247 | I | B | . | . | . | FHRXMQSNEGWZ
 248 | I | B | . | . | . | FHRXMQSNEGWZ
 249 | I | B | . | . | . | FHRXMQSNEGWZ
 250 | I | B | . | . | . | FHRXMQSNEGWZ
 251 | I | B | . | . | . | FHRXMQSNEGWZ
 252 | I | B | . | . | . | FHRXMQSNEGWZ
 253 | I | B | . | . | . | FHRXMQSNEGWZ
 254 | I | B | . | . | . | FHRXMQSNEGWZ
 255 | I | B | . | . | . | FHRXMQSNEGWZ
 256 | I | B | . | . | . | FHRXMQSNEGWZ
 257 | I | B | . | . | . | FHRXMQSNEGWZ
 258 | I | B | . | . | . | FHRXMQSNEGWZ
 259 | I | B | . | . | . | FHRXMQSNEGWZ
 260 | I | B | . | . | . | FHRXMQSNEGWZ
 261 | I | B | . | . | . | FHRXMQSNEGWZ
 262 | I | B | . | . | . | FHRXMQSNEGWZ
 263 | I | B | . | . | . | FHRXMQSNEGWZ
 264 | I | B | . | . | . | FHRXMQSNEGWZ
 265 | I | B | . | . | . | FHRXMQSNEGWZ
 266 | I | B | . | . | . | FHRXMQSNEGWZ
 267 | I | B | . | . | . | FHRXMQSNEGWZ
 268 | I | B | . | . | . | FHRXMQSNEGWZ
 269 | I | B | . | . | . | FHRXMQSNEGWZ
 270 | I | B | . | . | . | FHRXMQSNEGWZ
 271 | I | B | . | . | . | FHRXMQSNEGWZ
 272 | I | B | . | . | . | FHRXMQSNEGWZ
 273 | I | B | . | . | . | FHRXMQSNEGWZ
 274 | I | B | . | . | . | FHRXMQSNEGWZ
 275 | I | B | . | . | . | FHRXMQSNEGWZ
 276 | I | B | . | . | . | FHRXMQSNEGWZ
 277 | I | B | . | . | . | FHRXMQSNEGWZ
 278 | I | B | . | . | . | FHRXMQSNEGWZ
 279 | C | B | . | . | . | FHRXMQSNEGWZI
 280 | C | B | . | . | . | FHRXMQSNEGWZI
 281 | C | B | . | . | . | FHRXMQSNEGWZI
 282 | C | B | . | . | . | FHRXMQSNEGWZI
 283 | C | B | . | . | . | FHRXMQSNEGWZI
 284 | C | B | . | . | . | FHRXMQSNEGWZI
 285 | C | B | . | . | . | FHRXMQSNEGWZI
 286 | C | B | . | . | . | FHRXMQSNEGWZI
 287 | C | B | . | . | . | FHRXMQSNEGWZI
 288 | C | B | . | . | . | FHRXMQSNEGWZI
 289 | C | B | . | . | . | FHRXMQSNEGWZI
 290 | C | B | . | . | . | FHRXMQSNEGWZI
 291 | C | B | . | . | . | FHRXMQSNEGWZI
 292 | C | B | . | . | . | FHRXMQSNEGWZI
 293 | C | B | . | . | . | FHRXMQSNEGWZI
 294 | C | B | . | . | . | FHRXMQSNEGWZI
 295 | C | B | . | . | . | FHRXMQSNEGWZI
 296 | C | B | . | . | . | FHRXMQSNEGWZI
 297 | C | B | . | . | . | FHRXMQSNEGWZI
 298 | C | B | . | . | . | FHRXMQSNEGWZI
 299 | C | B | . | . | . | FHRXMQSNEGWZI
 300 | C | B | . | . | . | FHRXMQSNEGWZI
 301 | C | B | . | . | . | FHRXMQSNEGWZI
 302 | C | B | . | . | . | FHRXMQSNEGWZI
 303 | C | B | . | . | . | FHRXMQSNEGWZI
 304 | C | B | . | . | . | FHRXMQSNEGWZI
 305 | C | B | . | . | . | FHRXMQSNEGWZI
 306 | C | L | . | . | . | FHRXMQSNEGWZIB
 307 | C | L | . | . | . | FHRXMQSNEGWZIB
 308 | C | L | . | . | . | FHRXMQSNEGWZIB
 309 | C | L | . | . | . | FHRXMQSNEGWZIB
 310 | C | L | . | . | . | FHRXMQSNEGWZIB
 311 | C | L | . | . | . | FHRXMQSNEGWZIB
 312 | C | L | . | . | . | FHRXMQSNEGWZIB
 313 | C | L | . | . | . | FHRXMQSNEGWZIB
 314 | C | L | . | . | . | FHRXMQSNEGWZIB
 315 | C | L | . | . | . | FHRXMQSNEGWZIB
 316 | C | L | . | . | . | FHRXMQSNEGWZIB
 317 | C | L | . | . | . | FHRXMQSNEGWZIB
 318 | C | L | . | . | . | FHRXMQSNEGWZIB
 319 | C | L | . | . | . | FHRXMQSNEGWZIB
 320 | C | L | . | . | . | FHRXMQSNEGWZIB
 321 | C | L | . | . | . | FHRXMQSNEGWZIB
 322 | C | L | . | . | . | FHRXMQSNEGWZIB
 323 | C | L | . | . | . | FHRXMQSNEGWZIB
 324 | C | L | . | . | . | FHRXMQSNEGWZIB
 325 | C | L | . | . | . | FHRXMQSNEGWZIB
 326 | C | L | . | . | . | FHRXMQSNEGWZIB
 327 | C | L | . | . | . | FHRXMQSNEGWZIB
 328 | C | L | . | . | . | FHRXMQSNEGWZIB
 329 | C | L | . | . | . | FHRXMQSNEGWZIB
 330 | C | L | . | . | . | FHRXMQSNEGWZIB
 331 | C | L | . | . | . | FHRXMQSNEGWZIB
 332 | C | L | . | . | . | FHRXMQSNEGWZIB
 333 | C | L | . | . | . | FHRXMQSNEGWZIB
 334 | C | L | . | . | . | FHRXMQSNEGWZIB
 335 | C | L | . | . | . | FHRXMQSNEGWZIB
 336 | C | L | . | . | . | FHRXMQSNEGWZIB
 337 | C | L | . | . | . | FHRXMQSNEGWZIB
 338 | C | L | . | . | . | FHRXMQSNEGWZIB
 339 | C | L | . | . | . | FHRXMQSNEGWZIB
 340 | C | L | . | . | . | FHRXMQSNEGWZIB
 341 | C | L | . | . | . | FHRXMQSNEGWZIB
 342 | . | L | . | . | . | FHRXMQSNEGWZIBC
 343 | . | L | . | . | . | FHRXMQSNEGWZIBC
 344 | . | L | . | . | . | FHRXMQSNEGWZIBC
 345 | . | L | . | . | . | FHRXMQSNEGWZIBC
 346 | . | L | . | . | . | FHRXMQSNEGWZIBC
 347 | . | L | . | . | . | FHRXMQSNEGWZIBC
 348 | . | L | . | . | . | FHRXMQSNEGWZIBC
 349 | . | L | . | . | . | FHRXMQSNEGWZIBC
 350 | . | L | . | . | . | FHRXMQSNEGWZIBC
 351 | . | L | . | . | . | FHRXMQSNEGWZIBC
 352 | . | L | . | . | . | FHRXMQSNEGWZIBC
 353 | . | L | . | . | . | FHRXMQSNEGWZIBC
 354 | . | L | . | . | . | FHRXMQSNEGWZIBC
 355 | . | L | . | . | . | FHRXMQSNEGWZIBC
 356 | . | L | . | . | . | FHRXMQSNEGWZIBC
 357 | . | L | . | . | . | FHRXMQSNEGWZIBC
 358 | . | L | . | . | . | FHRXMQSNEGWZIBC
 359 | . | L | . | . | . | FHRXMQSNEGWZIBC
 360 | . | L | . | . | . | FHRXMQSNEGWZIBC
 361 | . | L | . | . | . | FHRXMQSNEGWZIBC
 362 | . | L | . | . | . | FHRXMQSNEGWZIBC
 363 | . | L | . | . | . | FHRXMQSNEGWZIBC
 364 | . | L | . | . | . | FHRXMQSNEGWZIBC
 365 | . | L | . | . | . | FHRXMQSNEGWZIBC
 366 | . | L | . | . | . | FHRXMQSNEGWZIBC
 367 | . | L | . | . | . | FHRXMQSNEGWZIBC
 368 | . | L | . | . | . | FHRXMQSNEGWZIBC
 369 | . | L | . | . | . | FHRXMQSNEGWZIBC
 370 | . | L | . | . | . | FHRXMQSNEGWZIBC
 371 | . | L | . | . | . | FHRXMQSNEGWZIBC
 372 | . | L | . | . | . | FHRXMQSNEGWZIBC
 373 | . | L | . | . | . | FHRXMQSNEGWZIBC
 374 | . | L | . | . | . | FHRXMQSNEGWZIBC
 375 | . | L | . | . | . | FHRXMQSNEGWZIBC
 376 | . | L | . | . | . | FHRXMQSNEGWZIBC
 377 | . | L | . | . | . | FHRXMQSNEGWZIBC
 378 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 379 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 380 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 381 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 382 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 383 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 384 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 385 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 386 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 387 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 388 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 389 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 390 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 391 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 392 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 393 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 394 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 395 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 396 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 397 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 398 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 399 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 400 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 401 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 402 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 403 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 404 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 405 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 406 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 407 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 408 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 409 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 410 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 411 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 412 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 413 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 414 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 415 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 416 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 417 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 418 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 419 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 420 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 421 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 422 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 423 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 424 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 425 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 426 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 427 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 428 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 429 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 430 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 431 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 432 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 433 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 434 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 435 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 436 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 437 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 438 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 439 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 440 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 441 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 442 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 443 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 444 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 445 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 446 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 447 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 448 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 449 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 450 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 451 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 452 | O | U | . | . | . | FHRXMQSNEGWZIBCL
 453 | T | U | . | . | . | FHRXMQSNEGWZIBCLO
 454 | T | U | . | . | . | FHRXMQSNEGWZIBCLO
 455 | T | U | . | . | . | FHRXMQSNEGWZIBCLO
 456 | T | U | . | . | . | FHRXMQSNEGWZIBCLO
 457 | T | U | . | . | . | FHRXMQSNEGWZIBCLO
 458 | T | U | . | . | . | FHRXMQSNEGWZIBCLO
 459 | T | A | . | . | . | FHRXMQSNEGWZIBCLOU
 460 | T | A | . | . | . | FHRXMQSNEGWZIBCLOU
 461 | T | A | . | . | . | FHRXMQSNEGWZIBCLOU
 462 | T | A | . | . | . | FHRXMQSNEGWZIBCLOU
 463 | T | A | . | . | . | FHRXMQSNEGWZIBCLOU
 464 | T | A | . | . | . | FHRXMQSNEGWZIBCLOU
 465 | T | A | . | . | . | FHRXMQSNEGWZIBCLOU
 466 | T | A | . | . | . | FHRXMQSNEGWZIBCLOU
 467 | T | A | . | . | . | FHRXMQSNEGWZIBCLOU
 468 | T | A | . | . | . | FHRXMQSNEGWZIBCLOU
 469 | T | A | . | . | . | FHRXMQSNEGWZIBCLOU
 470 | T | A | . | . | . | FHRXMQSNEGWZIBCLOU
 471 | T | A | . | . | . | FHRXMQSNEGWZIBCLOU
 472 | T | A | . | . | . | FHRXMQSNEGWZIBCLOU
 473 | T | A | . | . | . | FHRXMQSNEGWZIBCLOU
 474 | T | A | . | . | . | FHRXMQSNEGWZIBCLOU
 475 | T | A | . | . | . | FHRXMQSNEGWZIBCLOU
 476 | T | A | . | . | . | FHRXMQSNEGWZIBCLOU
 477 | T | A | . | . | . | FHRXMQSNEGWZIBCLOU
 478 | T | A | . | . | . | FHRXMQSNEGWZIBCLOU
 479 | T | A | . | . | . | FHRXMQSNEGWZIBCLOU
 480 | T | A | . | . | . | FHRXMQSNEGWZIBCLOU
 481 | T | A | . | . | . | FHRXMQSNEGWZIBCLOU
 482 | T | A | . | . | . | FHRXMQSNEGWZIBCLOU
 483 | T | A | . | . | . | FHRXMQSNEGWZIBCLOU
 484 | T | A | . | . | . | FHRXMQSNEGWZIBCLOU
 485 | T | A | . | . | . | FHRXMQSNEGWZIBCLOU
 486 | T | A | . | . | . | FHRXMQSNEGWZIBCLOU
 487 | T | A | . | . | . | FHRXMQSNEGWZIBCLOU
 488 | T | A | . | . | . | FHRXMQSNEGWZIBCLOU
 489 | T | A | . | . | . | FHRXMQSNEGWZIBCLOU
 490 | T | A | . | . | . | FHRXMQSNEGWZIBCLOU
 491 | T | A | . | . | . | FHRXMQSNEGWZIBCLOU
 492 | T | A | . | . | . | FHRXMQSNEGWZIBCLOU
 493 | T | A | . | . | . | FHRXMQSNEGWZIBCLOU
 494 | T | A | . | . | . | FHRXMQSNEGWZIBCLOU
 495 | T | A | . | . | . | FHRXMQSNEGWZIBCLOU
 496 | T | A | . | . | . | FHRXMQSNEGWZIBCLOU
 497 | T | A | . | . | . | FHRXMQSNEGWZIBCLOU
 498 | T | A | . | . | . | FHRXMQSNEGWZIBCLOU
 499 | T | A | . | . | . | FHRXMQSNEGWZIBCLOU
 500 | T | A | . | . | . | FHRXMQSNEGWZIBCLOU
 501 | T | A | . | . | . | FHRXMQSNEGWZIBCLOU
 502 | T | A | . | . | . | FHRXMQSNEGWZIBCLOU
 503 | T | A | . | . | . | FHRXMQSNEGWZIBCLOU
 504 | T | A | . | . | . | FHRXMQSNEGWZIBCLOU
 505 | T | A | . | . | . | FHRXMQSNEGWZIBCLOU
 506 | T | A | . | . | . | FHRXMQSNEGWZIBCLOU
 507 | T | A | . | . | . | FHRXMQSNEGWZIBCLOU
 508 | T | A | . | . | . | FHRXMQSNEGWZIBCLOU
 509 | T | A | . | . | . | FHRXMQSNEGWZIBCLOU
 510 | T | A | . | . | . | FHRXMQSNEGWZIBCLOU
 511 | T | A | . | . | . | FHRXMQSNEGWZIBCLOU
 512 | T | A | . | . | . | FHRXMQSNEGWZIBCLOU
 513 | T | A | . | . | . | FHRXMQSNEGWZIBCLOU
 514 | T | A | . | . | . | FHRXMQSNEGWZIBCLOU
 515 | T | A | . | . | . | FHRXMQSNEGWZIBCLOU
 516 | T | A | . | . | . | FHRXMQSNEGWZIBCLOU
 517 | T | A | . | . | . | FHRXMQSNEGWZIBCLOU
 518 | T | A | . | . | . | FHRXMQSNEGWZIBCLOU
 519 | T | A | . | . | . | FHRXMQSNEGWZIBCLOU
 520 | T | . | . | . | . | FHRXMQSNEGWZIBCLOUA
 521 | T | . | . | . | . | FHRXMQSNEGWZIBCLOUA
 522 | T | . | . | . | . | FHRXMQSNEGWZIBCLOUA
 523 | T | . | . | . | . | FHRXMQSNEGWZIBCLOUA
 524 | T | . | . | . | . | FHRXMQSNEGWZIBCLOUA
 525 | T | . | . | . | . | FHRXMQSNEGWZIBCLOUA
 526 | T | . | . | . | . | FHRXMQSNEGWZIBCLOUA
 527 | T | . | . | . | . | FHRXMQSNEGWZIBCLOUA
 528 | T | . | . | . | . | FHRXMQSNEGWZIBCLOUA
 529 | T | . | . | . | . | FHRXMQSNEGWZIBCLOUA
 530 | T | . | . | . | . | FHRXMQSNEGWZIBCLOUA
 531 | T | . | . | . | . | FHRXMQSNEGWZIBCLOUA
 532 | T | . | . | . | . | FHRXMQSNEGWZIBCLOUA
 533 | D | J | . | . | . | FHRXMQSNEGWZIBCLOUAT
 534 | D | J | . | . | . | FHRXMQSNEGWZIBCLOUAT
